GKZ,Name,Wahlberechtigte,abgegeben,gültig,ungültig,spoe,oevp,kpoe,gruene,fpoe,lh,bzoe,pf
G60719,Mönichwald,715,591,577,14,188,319,11,10,35,10,4,0
G60720,Neudau,915,720,710,10,427,205,21,14,22,9,12,0
G60721,Pinggau,2451,2013,1961,52,656,1117,44,36,61,20,27,0
G60722,Pöllau,1662,1359,1310,49,605,535,37,53,49,17,14,0
G60723,Pöllauberg,1730,1496,1473,23,398,924,34,31,42,18,26,0
G60724,Puchegg,425,374,370,4,99,241,5,7,12,3,3,0
G60725,Rabenwald,524,483,474,9,307,135,11,7,10,0,4,0
G60726,Riegersberg,823,726,708,18,181,451,10,17,30,5,14,0
G60727,Rohr bei Hartberg,843,701,687,14,271,353,18,16,7,11,11,0
G60728,Rohrbach an der Lafnitz,811,687,675,12,391,189,18,26,27,2,22,0
G60729,Saifen-Boden,804,659,649,10,160,431,13,9,18,9,9,0
G60730,Sankt Jakob im Walde,882,767,750,17,257,405,20,17,29,14,8,0
G60731,Sankt Johann bei Herberstein,260,212,209,3,60,113,5,23,7,1,0,0
G60732,Sankt Johann in der Haide,1489,1219,1191,28,503,530,24,52,41,17,24,0
G60733,Sankt Lorenzen am Wechsel,1304,1040,1016,24,346,574,22,22,33,12,7,0
G60734,Sankt Magdalena am Lemberg,919,793,780,13,263,434,31,16,16,9,11,0
G60735,Schachen bei Vorau,994,856,839,17,175,514,32,12,93,10,3,0
G60736,Schäffern,1103,1008,984,24,161,768,16,7,17,11,4,0
G60737,Schlag bei Thalberg,799,657,649,8,372,227,6,19,8,7,10,0
G60738,Schönegg bei Pöllau,1075,922,906,16,283,516,35,18,27,11,16,0
G60739,Sebersdorf,1057,875,850,25,253,477,33,23,33,11,20,0
G60740,Siegersdorf bei Herberstein,236,188,185,3,42,125,5,6,5,2,0,0
G60741,Sonnhofen,823,714,699,15,272,375,6,13,16,9,8,0
G60742,Stambach,497,426,419,7,72,318,4,3,18,2,2,0
G60743,Stubenberg,1786,1269,1251,18,399,648,74,57,51,8,14,0
G60744,Tiefenbach bei Kaindorf,550,471,461,10,163,239,20,8,17,8,6,0
G60745,Vorau,1147,983,967,16,320,509,32,47,47,7,5,0
G60746,Vornholz,598,533,518,15,126,338,13,11,19,6,5,0
G60747,Waldbach,623,513,504,9,170,264,8,14,35,4,9,0
G60748,Bad Waltersdorf,1588,1292,1247,45,271,801,38,27,47,20,43,0
G60749,Wenigzell,1209,1011,989,22,211,663,27,32,29,17,10,0
G60750,Wörth an der Lafnitz,329,288,286,2,112,143,10,5,11,0,5,0
G60801,Amering,820,671,662,9,184,399,37,8,14,14,6,0
G60802,Bretstein,282,239,235,4,85,106,9,4,17,4,10,0
G60803,Eppenstein,1057,903,884,19,311,461,29,12,32,24,15,0
G60804,Fohnsdorf,6659,5218,5161,57,3283,1016,391,126,149,126,70,0
G60805,Hohentauern,416,341,336,5,201,89,8,3,22,5,8,0
G60806,Judenburg,7802,5754,5688,66,3385,1257,396,158,223,177,92,0
G60807,Sankt Wolfgang-Kienberg,297,265,257,8,40,177,10,1,19,6,4,0
G60808,Sankt Anna am Lavantegg,354,292,291,1,134,132,5,2,5,8,5,0
G60809,Maria Buch-Feistritz,1755,1411,1394,17,573,589,91,33,37,55,16,0
G60810,Obdach,1677,1305,1273,32,596,444,102,30,52,31,18,0
G60811,Oberkurzheim,614,494,482,12,175,214,15,11,36,20,11,0
G60812,Oberweg,524,434,431,3,212,137,28,15,17,17,5,0
G60813,Oberzeiring,719,594,580,14,182,274,29,26,52,11,6,0
G60814,Pöls,2180,1837,1815,22,1237,363,61,37,53,32,32,0
G60815,Pusterwald,411,366,363,3,95,209,5,1,43,5,5,0
G60816,Reifling,311,261,259,2,115,99,12,14,8,11,0,0
G60817,Reisstraße,155,129,126,3,47,58,3,3,13,1,1,0
G60818,Sankt Georgen ob Judenburg,742,593,586,7,229,265,29,12,26,17,8,0
G60819,Sankt Johann am Tauern,412,346,337,9,133,152,7,5,19,9,12,0
G60820,Sankt Oswald-Möderbrugg,961,774,755,19,284,349,23,7,66,13,13,0
G60821,Sankt Peter ob Judenburg,935,789,770,19,278,357,32,23,38,30,12,0
G60822,Unzmarkt-Frauenburg,1240,966,957,9,426,386,53,32,41,7,12,0
G60823,Weißkirchen in Steiermark,1031,832,814,18,305,314,53,39,45,53,5,0
G60824,Zeltweg,5968,4369,4311,58,2719,818,324,89,137,148,76,0
G60901,Apfelberg,881,740,733,7,485,150,34,20,16,16,12,0
G60902,Feistritz bei Knittelfeld,540,458,454,4,245,119,24,17,25,20,4,0
G60903,Flatschach,143,124,123,1,37,62,3,2,4,15,0,0
G60904,Gaal,1146,964,950,14,313,531,25,18,26,22,15,0
G60905,Großlobming,854,764,754,10,372,226,34,31,60,21,10,0
G60906,Kleinlobming,574,474,463,11,119,265,16,9,38,9,7,0
G60907,Knittelfeld,9273,6695,6621,74,4330,1180,470,154,192,174,121,0
G60908,Kobenz,1348,1120,1093,27,410,504,39,45,38,33,24,0
G60909,Rachau,529,429,426,3,163,206,20,11,16,9,1,0
G60910,Sankt Lorenzen bei Knittelfeld,653,546,540,6,205,246,11,6,27,35,10,0
G60911,Sankt Marein bei Knittelfeld,907,749,743,6,308,283,21,21,53,16,41,0
G60912,Sankt Margarethen bei Knittelfeld,1075,894,880,14,469,295,47,13,17,27,12,0
G60913,Seckau,1024,877,859,18,231,478,34,29,34,31,22,0
G60914,Spielberg bei Knittelfeld,3976,3127,3068,59,1780,682,185,89,118,144,70,0
G61001,Allerheiligen bei Wildon,1081,852,839,13,241,455,40,31,30,22,20,0
G61002,Arnfels,840,635,626,9,201,342,16,22,11,19,15,0
G61003,Berghausen,477,376,371,5,164,179,4,10,10,3,1,0
G61004,Breitenfeld am Tannenriegel,169,134,131,3,25,88,5,1,2,3,7,0
G61005,Ehrenhausen,845,645,638,7,259,315,17,21,17,1,8,0
G61006,Eichberg-Trautenburg,653,536,527,9,115,359,7,4,26,10,6,0
G61007,Empersdorf,1037,783,756,27,255,325,56,44,38,20,18,0
G61008,Gabersdorf,839,705,697,8,216,402,24,11,20,16,8,0
G61009,Gamlitz,2387,1982,1960,22,701,1102,51,35,35,17,19,0
G61010,Glanz an der Weinstraße,1081,846,834,12,206,547,17,17,28,11,8,0
G61011,Gleinstätten,1111,842,825,17,276,451,26,21,22,14,15,0
G61012,Gralla,1430,1033,1014,19,540,322,48,31,46,13,14,0
G61013,Großklein,1795,1395,1365,30,470,728,44,43,39,13,28,0
G61014,Hainsdorf im Schwarzautal,248,190,188,2,39,127,1,6,4,7,4,0
G61015,Heiligenkreuz am Waasen,1318,1000,983,17,263,515,40,60,57,28,20,0
G61016,Heimschuh,1545,1184,1160,24,441,584,34,23,48,12,18,0
G61017,Hengsberg,1066,814,790,24,289,387,24,24,29,21,16,0
G61018,Kaindorf an der Sulm,1924,1403,1385,18,643,543,57,51,44,25,22,0
G61019,Kitzeck im Sausal,985,791,778,13,283,371,17,19,55,20,13,0
G61020,Lang,919,744,732,12,248,387,14,34,20,19,10,0
G61021,Lebring-Sankt Margarethen,1549,1221,1200,21,493,479,55,43,44,59,27,0
G61022,Leibnitz,5576,3963,3911,52,1712,1497,200,213,164,64,61,0
G61023,Leutschach,424,326,323,3,108,187,7,4,12,1,4,0
G61024,Oberhaag,1828,1392,1364,28,537,665,35,32,54,11,30,0
G61025,Obervogau,628,519,508,11,232,230,15,11,9,5,6,0
G61026,Pistorf,1126,821,810,11,318,417,28,17,12,12,6,0
G61027,Ragnitz,1163,866,852,14,261,452,42,20,46,20,11,0
G61028,Ratsch an der Weinstraße,322,279,276,3,109,154,2,1,4,3,3,0
G61029,Retznei,335,277,272,5,212,47,5,2,5,0,1,0
G61030,Sankt Andrä-Höch,1409,1015,1000,15,304,541,36,34,33,22,30,0
G61031,Sankt Georgen an der Stiefing,915,702,691,11,174,427,19,29,19,14,9,0
G61032,Sankt Johann im Saggautal,1634,1200,1173,27,429,628,30,20,34,13,19,0
G61033,Sankt Nikolai im Sausal,1709,1248,1233,15,532,552,37,32,37,30,13,0
G61034,Sankt Nikolai ob Draßling,846,715,712,3,164,468,17,19,22,14,8,0
G61035,Sankt Ulrich am Waasen,595,474,464,10,181,185,33,29,12,11,13,0
G61036,Sankt Veit am Vogau,1442,1179,1162,17,318,712,56,18,36,13,9,0
G61037,Schloßberg,879,704,691,13,201,422,22,12,18,9,7,0
G61038,Seggauberg,786,666,653,13,202,381,24,20,19,0,7,0
G61039,Spielfeld,760,587,575,12,296,202,23,11,30,8,5,0
G61040,Stocking,1138,925,907,18,280,441,42,49,46,36,13,0
G61041,Straß in Steiermark,1274,962,945,17,347,441,34,23,66,19,15,0
G61042,Sulztal an der Weinstraße,120,108,107,1,54,39,0,8,1,0,5,0
G61043,Tillmitsch,2402,1768,1743,25,899,601,80,55,52,30,26,0
G61044,Vogau,804,647,641,6,249,319,30,10,22,9,2,0
G61045,Wagna,3930,2894,2836,58,1598,809,124,120,99,41,45,0
G61046,Weitendorf,1160,916,913,3,411,370,41,28,29,20,14,0
G61047,Wildon,1836,1316,1294,22,517,492,128,77,25,41,14,0
G61048,Wolfsberg im Schwarzautal,633,512,509,3,122,330,14,15,14,10,4,0
G61101,Eisenerz,4971,3943,3908,35,2647,744,262,89,105,21,40,0
G61102,Gai,1438,1157,1141,16,462,444,80,51,67,26,11,0
G61103,Hafning bei Trofaiach,1348,1054,1045,9,569,324,40,30,56,10,16,0
G61104,Hieflau,775,670,667,3,519,102,15,7,12,10,2,0
G61105,Kalwang,932,739,728,11,322,295,28,14,43,20,6,0
G61106,Kammern im Liesingtal,1309,1104,1086,18,521,432,30,27,50,8,18,0
G61107,Kraubath an der Mur,1093,912,906,6,354,442,30,24,22,23,11,0
G61108,Leoben,19523,13360,13227,133,7704,2724,1285,443,734,189,148,0
G61109,Mautern in Steiermark,1607,1253,1234,19,593,427,61,21,87,25,20,0
G61110,Niklasdorf,2125,1698,1686,12,1171,312,91,37,42,16,17,0
G61111,Proleb,1319,1094,1085,9,678,249,52,41,40,15,10,0
G61112,Radmer,638,558,554,4,346,172,11,10,10,3,2,0
G61113,Sankt Michael in Obersteiermark,2597,2004,1988,16,1211,436,127,65,89,40,20,0
G61114,Sankt Peter-Freienstein,1983,1537,1519,18,774,529,98,25,55,21,17,0
G61115,Sankt Stefan ob Leoben,1629,1333,1319,14,743,394,50,32,59,23,18,0
G61116,Traboch,1096,865,855,10,389,336,60,18,32,14,6,0
G61117,Trofaiach,6738,4980,4942,38,2961,923,564,174,194,59,67,0
G61118,Vordernberg,1045,867,865,2,660,101,50,8,20,14,12,0
G61119,Wald am Schoberpaß,512,416,412,4,210,159,10,9,15,6,3,0
G61201,Admont,2045,1445,1427,18,700,514,61,62,44,29,17,0
G61202,Aich,628,526,522,4,103,330,8,10,40,5,26,0
G61203,Aigen im Ennstal,2010,1542,1519,23,527,739,57,48,80,36,32,0
G61204,Altaussee,1462,1061,1048,13,544,402,28,29,28,10,7,0
G61205,Altenmarkt bei Sankt Gallen,729,597,583,14,365,169,14,11,6,9,9,0
G61206,Ardning,1004,847,837,10,460,288,31,19,21,11,7,0
G61207,Bad Aussee,3725,2749,2707,42,1387,977,92,102,89,32,28,0
G61208,Donnersbach,865,718,708,10,136,501,9,14,29,10,9,0
G61209,Donnersbachwald,271,224,218,6,140,67,0,3,2,3,3,0
G61210,Gaishorn am See,832,690,682,8,287,249,27,17,79,22,1,0
G61211,Gams bei Hieflau,499,416,415,1,199,183,2,7,14,6,4,0
G61212,Gössenberg,206,170,168,2,19,136,3,1,5,0,4,0
G61213,Gröbming,1965,1511,1489,22,544,624,34,42,195,18,32,0
G61214,Großsölk,380,313,303,10,115,130,9,5,22,11,11,0
G61215,Grundlsee,1072,775,764,11,345,329,34,16,25,6,9,0
G61216,Hall,1447,1114,1098,16,596,281,31,119,45,10,16,0
G61217,Haus,1837,1409,1380,29,391,788,39,33,71,21,37,0
G61218,Irdning,2043,1521,1492,29,402,783,41,96,109,23,38,0
G61219,Johnsbach,133,122,120,2,28,76,2,3,4,3,4,0
G61220,Kleinsölk,445,371,367,4,80,221,9,10,28,8,11,0
G61221,Landl,1080,908,897,11,510,318,11,11,29,8,10,0
G61222,Lassing,1414,1110,1095,15,376,540,28,46,62,19,24,0
G61223,Liezen,5303,3734,3688,46,2032,1099,122,126,158,101,50,0
G61224,Michaelerberg,397,340,337,3,140,158,11,6,15,3,4,0
G61225,Mitterberg,822,654,647,7,279,287,9,8,31,10,23,0
G61226,Bad Mitterndorf,2293,1640,1616,24,562,800,46,36,54,100,18,0
G61227,Niederöblarn,415,364,359,5,113,209,2,10,7,9,9,0
G61228,Öblarn,1088,877,868,9,333,298,15,36,64,7,115,0
G61229,Oppenberg,211,175,174,1,44,107,4,6,8,0,5,0
G61230,Palfau,338,295,294,1,179,108,3,2,1,1,0,0
G61232,Pichl-Preunegg,662,540,523,17,104,296,7,11,72,17,16,0
G61233,Pichl-Kainisch,602,501,494,7,231,210,8,6,24,12,3,0
G61234,Pruggern,503,404,397,7,106,244,8,7,16,7,9,0
G61235,Pürgg-Trautenfels,739,608,598,10,184,343,17,14,16,9,15,0
G61236,Ramsau am Dachstein,1985,1481,1444,37,207,912,29,68,119,51,58,0
G61237,Rohrmoos-Untertal,1034,787,771,16,148,472,27,23,69,6,26,0
G61238,Rottenmann,4070,3005,2974,31,1720,784,130,77,176,53,34,0
G61239,Sankt Gallen,1179,991,980,11,519,359,25,29,28,8,12,0
G61240,Sankt Martin am Grimming,594,477,469,8,113,292,8,15,15,16,10,0
G61241,Sankt Nikolai im Sölktal,390,332,328,4,112,196,4,5,4,6,1,0
G61242,Schladming,3209,2336,2305,31,724,1181,76,96,131,55,42,0
G61243,Selzthal,1502,1245,1239,6,980,188,29,17,15,1,9,0
G61244,Stainach,1453,1091,1068,23,552,374,36,28,44,22,12,0
G61245,Tauplitz,797,598,594,4,205,263,8,14,61,38,5,0
G61246,Treglwang,302,246,239,7,97,119,7,9,4,3,0,0
G61247,Trieben,3037,2414,2393,21,1808,383,61,34,55,31,21,0
G61248,Weißenbach an der Enns,430,350,345,5,164,162,11,2,3,3,0,0
G61249,Weißenbach bei Liezen,900,737,731,6,319,313,31,10,30,22,6,0
G61250,Weng im Gesäuse,472,407,397,10,170,152,5,56,7,4,3,0
G61251,Wildalpen,479,407,404,3,268,110,8,6,6,2,4,0
G61252,Wörschach,909,746,739,7,273,378,25,22,19,13,9,0
G61301,Allerheiligen im Mürztal,1569,1348,1336,12,716,391,46,24,138,13,8,0
G61302,Altenberg an der Rax,278,246,244,2,92,134,8,5,4,0,1,0
G61303,Ganz,300,248,242,6,32,182,8,6,9,4,1,0
G61304,Kapellen,532,442,436,6,216,185,12,5,11,5,2,0
G61305,Kindberg,4699,3736,3697,39,2332,713,144,76,380,28,24,0
G61306,Krieglach,4177,3211,3162,49,1603,970,160,134,186,65,44,0
G61307,Langenwang,3312,2661,2590,71,1124,1055,114,71,140,53,33,0
G61308,Mitterdorf im Mürztal,2028,1640,1626,14,1065,342,55,28,100,25,11,0
G61309,Mürzhofen,784,641,635,6,418,143,23,11,29,7,4,0
G61310,Mürzsteg,382,331,329,2,213,80,6,2,25,1,2,0
G61311,Mürzzuschlag,7327,5611,5558,53,3626,1084,356,158,223,52,59,0
G61312,Neuberg an der Mürz,1167,962,950,12,561,261,25,16,70,12,5,0
