GKZ,Name,Wahlberechtigte,abgegeben,gültig,ungültig,spoe,oevp,kpoe,gruene,fpoe,lh,bzoe,pf
G61701,Albersdorf-Prebuch,1427,1071,1052,19,329,531,56,56,34,20,26,0
G61702,Anger,697,588,578,10,235,260,22,25,18,12,6,0
G61703,Arzberg,454,371,367,4,115,208,12,4,19,3,6,0
G61704,Baierdorf bei Anger,1343,1164,1133,31,414,552,61,40,41,16,9,0
G61705,Birkfeld,1339,1053,1028,25,378,445,41,76,55,19,14,0
G61706,Etzersdorf-Rollsdorf,929,751,736,15,304,326,42,24,26,3,11,0
G61707,Feistritz bei Anger,864,708,696,12,276,280,26,37,59,7,11,0
G61708,Fischbach,1296,1045,1033,12,359,405,19,18,221,9,2,0
G61709,Fladnitz an der Teichalm,895,751,745,6,191,398,30,7,107,4,8,0
G61710,Floing,957,800,780,20,339,346,27,25,21,13,9,0
G61711,Gasen,744,656,653,3,176,454,4,4,8,2,5,0
G61712,Gersdorf an der Feistritz,947,782,770,12,107,501,16,21,111,8,6,0
G61713,Gleisdorf,4263,2963,2926,37,1021,1145,176,359,125,46,54,0
G61714,Gschaid bei Birkfeld,737,625,609,16,191,314,19,16,48,10,11,0
G61715,Gutenberg an der Raabklamm,961,800,782,18,322,354,37,40,13,7,9,0
G61716,Markt Hartmannsdorf,2177,1757,1724,33,432,928,72,127,95,35,35,0
G61717,Haslau bei Birkfeld,372,331,323,8,163,133,8,5,10,1,3,0
G61718,Hirnsdorf,534,460,446,14,170,214,20,10,26,4,2,0
G61719,Hofstätten an der Raab,1424,1072,1042,30,285,527,50,79,43,35,23,0
G61720,Hohenau an der Raab,1020,851,837,14,238,501,20,9,47,16,6,0
G61721,Ilztal,1372,1042,1024,18,299,506,60,47,74,29,9,0
G61722,Koglhof,889,718,700,18,206,410,28,15,33,2,6,0
G61723,Krottendorf,1787,1455,1434,21,656,522,94,75,42,26,19,0
G61724,Kulm bei Weiz,382,318,315,3,102,159,19,13,14,7,1,0
G61725,Labuch,607,472,458,14,169,214,15,20,17,12,11,0
G61726,Laßnitzthal,843,651,642,9,285,213,65,20,23,13,23,0
G61727,Ludersdorf-Wilfersdorf,1447,1043,1032,11,365,427,64,84,43,15,34,0
G61728,Miesenbach bei Birkfeld,555,506,499,7,152,299,16,8,11,10,3,0
G61729,Mitterdorf an der Raab,1547,1259,1224,35,480,547,50,61,47,18,21,0
G61730,Mortantsch,1519,1284,1257,27,536,527,60,59,39,21,15,0
G61731,Naas,1082,887,872,15,315,415,33,22,66,10,11,0
G61732,Naintsch,521,456,451,5,123,304,5,9,9,1,0,0
G61733,Neudorf bei Passail,396,316,312,4,96,130,12,0,66,1,7,0
G61734,Nitscha,1079,868,856,12,250,437,48,64,24,19,14,0
G61735,Oberrettenbach,390,332,327,5,87,209,4,13,9,1,4,0
G61736,Passail,1545,1260,1242,18,379,683,46,41,68,16,9,0
G61737,Pischelsdorf in der Steiermark,1969,1528,1504,24,482,686,80,111,95,28,22,0
G61739,Preßguts,304,249,245,4,89,117,16,6,12,3,2,0
G61740,Puch bei Weiz,1678,1291,1263,28,432,627,55,62,54,19,14,0
G61741,Ratten,968,807,800,7,356,373,16,10,38,4,3,0
G61742,Reichendorf,477,370,366,4,80,202,13,12,42,7,10,0
G61743,Rettenegg,626,530,518,12,212,264,16,13,5,3,5,0
G61744,Sankt Kathrein am Hauenstein,580,493,481,12,189,244,6,7,27,6,2,0
G61745,Sankt Kathrein am Offenegg,945,779,763,16,232,459,21,13,21,11,6,0
G61746,Sankt Margarethen an der Raab,2915,2260,2225,35,725,1002,101,156,137,55,49,0
G61747,Sankt Ruprecht an der Raab,1498,1069,1048,21,330,504,57,90,36,11,20,0
G61748,Sinabelkirchen,2959,2169,2121,48,875,857,126,84,99,28,52,0
G61749,Stenzengreith,423,352,344,8,102,196,10,6,25,2,3,0
G61750,Strallegg,1570,1288,1274,14,398,715,37,31,70,13,10,0
G61751,Thannhausen,1848,1494,1476,18,568,670,83,77,33,15,30,0
G61752,Ungerdorf,530,415,406,9,124,205,26,23,13,8,7,0
G61753,Unterfladnitz,1205,900,885,15,277,404,57,46,64,18,19,0
G61754,Waisenegg,869,728,712,16,231,365,21,18,57,10,10,0
G61755,Weiz,6973,5231,5148,83,3081,1132,311,377,127,61,59,0
