GKZ,Name,Wahlberechtigte,abgegeben,gültig,ungültig,spoe,oevp,fpoe,gruene,kpoe,bzoe,cpoe,puma
G60641,Sankt Oswald bei Plankenwarth,969,646,641,5,315,207,60,21,23,13,2,0
G60642,Sankt Radegund bei Graz,1655,1051,1031,20,339,410,85,92,65,35,5,0
G60643,Schrems bei Frohnleiten,450,378,374,4,192,128,30,5,6,10,3,0
G60644,Seiersberg,5589,3459,3402,57,1345,942,472,228,216,147,52,0
G60645,Semriach,2595,1774,1760,14,417,873,303,42,52,61,12,0
G60646,Stattegg,2174,1447,1428,19,446,569,131,130,87,54,11,0
G60647,Stiwoll,588,446,442,4,189,193,39,12,2,5,2,0
G60648,Thal,1772,1194,1176,18,477,326,145,116,62,42,8,0
G60649,Tulwitz,416,338,338,0,59,222,38,7,5,6,1,0
G60650,Tyrnau,120,98,96,2,32,55,5,2,1,1,0,0
G60651,Übelbach,1680,1175,1163,12,509,417,126,35,33,36,7,0
G60652,Unterpremstätten,2861,1692,1676,16,610,582,217,112,73,73,9,0
G60653,Vasoldsberg,3413,2255,2227,28,767,796,326,135,95,88,20,0
G60654,Weinitzen,2070,1338,1320,18,400,516,163,113,64,52,12,0
G60655,Werndorf,1719,1098,1086,12,483,287,164,29,52,64,7,0
G60656,Wundschuh,1200,916,907,9,229,495,83,35,36,22,7,0
G60657,Zettling,1181,752,740,12,225,319,107,19,30,29,11,0
G60658,Zwaring-Pöls,1260,875,857,18,182,436,118,32,38,41,10,0
G60701,Blaindorf,545,397,393,4,145,183,41,6,6,8,4,0
G60702,Buch-Geiseldorf,853,591,582,9,153,294,89,23,4,16,3,0
G60703,Dechantskirchen,1372,1059,1043,16,343,584,75,13,4,11,13,0
G60704,Dienersdorf,561,421,419,2,78,254,46,19,12,9,1,0
G60705,Ebersdorf,992,755,742,13,118,461,106,15,16,20,6,0
G60706,Friedberg,2194,1560,1538,22,606,686,142,52,16,23,13,0
G60707,Grafendorf bei Hartberg,2078,1543,1512,31,408,785,224,55,10,20,10,0
G60708,Greinbach,1461,1098,1076,22,253,615,131,29,16,24,8,0
G60709,Großhart,524,388,382,6,71,252,34,10,4,8,3,0
G60710,Hartberg,5284,3435,3383,52,898,1544,372,344,85,101,39,0
G60711,Hartberg Umgebung,1691,1278,1253,25,200,848,103,50,13,30,9,0
G60712,Hartl,698,612,592,20,75,408,75,14,5,13,2,0
G60713,Hofkirchen bei Hartberg,519,419,413,6,66,278,35,16,5,13,0,0
G60714,Kaibing,309,255,252,3,95,115,29,4,3,3,3,0
G60715,Kaindorf,1158,829,817,12,175,469,109,28,18,12,6,0
G60716,Eichberg,1038,764,745,19,214,403,89,10,3,24,2,0
G60717,Lafnitz,1110,868,856,12,389,327,84,20,14,15,7,0
G60718,Limbach bei Neudau,273,238,234,4,51,149,20,1,1,7,5,0
G60719,Mönichwald,739,566,562,4,153,333,52,7,3,7,7,0
G60720,Neudau,886,599,590,9,375,125,55,12,7,13,3,0
G60721,Pinggau,2564,1744,1715,29,553,921,137,41,19,31,13,0
G60722,Pöllau,1752,1241,1214,27,463,561,68,69,31,9,13,0
G60723,Pöllauberg,1780,1414,1399,15,299,926,72,33,37,19,13,0
G60724,Puchegg,457,376,372,4,88,239,31,6,2,5,1,0
G60725,Rabenwald,526,472,460,12,297,124,19,6,8,4,2,0
G60726,Riegersberg,855,633,619,14,120,403,67,3,4,15,7,0
G60727,Rohr bei Hartberg,904,688,678,10,224,345,63,26,4,14,2,0
G60728,Rohrbach an der Lafnitz,874,678,666,12,340,201,52,16,10,45,2,0
G60729,Saifen-Boden,869,622,615,7,159,369,43,12,14,16,2,0
G60730,Sankt Jakob im Walde,902,653,649,4,204,366,53,9,5,10,2,0
G60731,Sankt Johann bei Herberstein,283,228,227,1,58,113,16,20,10,9,1,0
G60732,Sankt Johann in der Haide,1600,1165,1146,19,467,478,105,57,14,21,4,0
G60733,Sankt Lorenzen am Wechsel,1329,1008,992,16,289,597,61,15,8,12,10,0
G60734,Sankt Magdalena am Lemberg,947,748,737,11,228,383,72,26,12,16,0,0
G60735,Schachen bei Vorau,1009,812,803,9,136,462,165,16,11,4,9,0
G60736,Schäffern,1159,914,893,21,162,607,73,7,14,14,16,0
G60737,Schlag bei Thalberg,797,581,575,6,302,202,32,14,6,13,6,0
G60738,Schönegg bei Pöllau,1141,881,869,12,246,496,53,13,47,10,4,0
G60739,Sebersdorf,1175,827,810,17,245,389,95,29,16,30,6,0
G60740,Siegersdorf bei Herberstein,245,177,174,3,44,107,10,5,1,4,3,0
G60741,Sonnhofen,852,691,687,4,245,387,24,9,10,9,3,0
G60742,Stambach,521,387,383,4,74,235,55,7,4,5,3,0
G60743,Stubenberg,1965,1170,1158,12,380,555,126,38,30,24,5,0
G60744,Tiefenbach bei Kaindorf,569,412,403,9,110,217,52,7,5,7,5,0
G60745,Vorau,1158,837,825,12,233,462,67,32,10,11,10,0
G60746,Vornholz,606,516,499,17,85,339,48,9,2,11,5,0
G60747,Waldbach,616,481,478,3,147,247,53,15,8,7,1,0
G60748,Bad Waltersdorf,1743,1211,1184,27,249,723,104,37,11,45,15,0
G60749,Wenigzell,1202,927,909,18,182,616,58,20,5,19,9,0
G60750,Wörth an der Lafnitz,311,235,234,1,81,117,22,6,3,3,2,0
G60801,Amering,880,620,617,3,195,361,23,9,21,6,1,1
G60802,Bretstein,272,217,215,2,91,95,18,2,1,6,0,2
G60803,Eppenstein,1047,770,766,4,290,357,53,5,22,28,4,7
G60804,Fohnsdorf,6704,4444,4405,39,2804,770,363,81,269,83,9,26
G60805,Hohentauern,393,291,289,2,159,80,23,4,9,10,3,1
G60806,Judenburg,7789,4628,4589,39,2517,979,475,118,323,117,21,39
G60807,Sankt Wolfgang-Kienberg,302,224,222,2,44,149,10,1,9,9,0,0
G60808,Sankt Anna am Lavantegg,360,274,271,3,140,102,12,4,3,7,2,1
G60809,Maria Buch-Feistritz,1864,1354,1341,13,499,562,97,40,62,53,11,17
G60810,Obdach,1688,1090,1079,11,467,396,98,23,49,33,3,10
G60811,Oberkurzheim,589,419,409,10,129,202,30,15,12,16,3,2
G60812,Oberweg,505,374,369,5,190,135,17,13,8,3,1,2
G60813,Oberzeiring,717,499,489,10,183,233,36,12,9,13,1,2
G60814,Pöls,2106,1444,1425,19,863,318,97,27,58,49,3,10
G60815,Pusterwald,411,319,307,12,96,169,28,2,2,8,1,1
G60816,Reifling,318,239,235,4,129,74,18,4,8,2,0,0
G60817,Reisstraße,151,111,110,1,45,41,17,1,2,4,0,0
G60818,Sankt Georgen ob Judenburg,729,538,529,9,186,273,28,8,17,10,4,3
G60819,Sankt Johann am Tauern,406,298,293,5,114,129,24,2,8,15,0,1
G60820,Sankt Oswald-Möderbrugg,989,753,740,13,297,315,62,7,21,19,7,12
G60821,Sankt Peter ob Judenburg,949,735,721,14,250,338,70,23,18,12,4,6
G60822,Unzmarkt-Frauenburg,1179,799,790,9,344,314,56,22,34,14,1,5
G60823,Weißkirchen in Steiermark,1067,728,713,15,259,314,59,28,26,14,4,9
G60824,Zeltweg,5850,3573,3532,41,1912,737,382,57,322,88,13,21
G60901,Apfelberg,913,635,635,0,395,130,45,15,31,16,2,1
G60902,Feistritz bei Knittelfeld,580,456,447,9,211,126,42,21,24,14,1,8
G60903,Flatschach,169,137,129,8,43,75,6,3,0,2,0,0
G60904,Gaal,1162,879,866,13,265,462,57,10,28,29,12,3
G60905,Großlobming,949,731,720,11,307,220,119,29,23,15,2,5
G60906,Kleinlobming,544,392,388,4,92,235,34,5,7,12,2,1
G60907,Knittelfeld,9130,5557,5504,53,3192,901,631,150,433,141,28,28
G60908,Kobenz,1474,1092,1073,19,391,469,108,39,35,24,1,6
G60909,Rachau,519,402,398,4,127,208,25,14,8,9,3,4
G60910,Sankt Lorenzen bei Knittelfeld,671,512,509,3,187,222,64,8,8,17,1,2
G60911,Sankt Marein bei Knittelfeld,947,700,696,4,260,291,77,15,15,34,2,2
G60912,Sankt Margarethen bei Knittelfeld,1097,848,838,10,415,280,70,16,31,15,2,9
G60913,Seckau,1058,813,806,7,195,491,48,24,18,9,19,2
G60914,Spielberg,4226,2749,2710,39,1434,659,301,58,151,79,16,12
G61001,Allerheiligen bei Wildon,1179,781,771,10,201,374,116,39,14,24,3,0
G61002,Arnfels,870,550,536,14,166,288,49,18,6,7,2,0
G61003,Berghausen,526,309,304,5,119,142,25,7,2,7,2,0
G61004,Breitenfeld am Tannenriegel,169,122,118,4,33,70,11,1,1,2,0,0
G61005,Ehrenhausen,864,548,540,8,209,250,49,15,8,7,2,0
G61006,Eichberg-Trautenburg,660,478,472,6,90,316,39,7,5,12,3,0
G61007,Empersdorf,1101,705,700,5,228,275,101,25,27,33,11,0
G61008,Gabersdorf,889,601,592,9,155,347,54,12,8,15,1,0
G61009,Gamlitz,2537,1751,1730,21,573,925,123,28,24,46,11,0
G61010,Glanz an der Weinstraße,1142,817,810,7,163,510,67,17,15,35,3,0
G61011,Gleinstätten,1203,784,776,8,256,373,86,24,11,20,6,0
G61012,Gralla,1621,982,976,6,541,250,105,21,20,36,3,0
G61013,Großklein,1876,1275,1254,21,393,639,124,35,9,50,4,0
G61014,Hainsdorf im Schwarzautal,243,183,178,5,35,121,11,1,0,7,3,0
G61015,Heiligenkreuz am Waasen,1490,969,953,16,244,466,133,43,35,26,6,0
G61016,Heimschuh,1603,1045,1033,12,333,469,148,25,19,32,7,0
G61017,Hengsberg,1116,739,728,11,247,298,104,28,13,31,7,0
G61018,Kaindorf an der Sulm,2059,1239,1216,23,512,422,122,58,50,52,0,0
G61019,Kitzeck im Sausal,1039,691,680,11,234,269,118,23,11,22,3,0
G61020,Lang,1000,697,690,7,221,347,59,31,11,19,2,0
G61021,Lebring-Sankt Margarethen,1612,1051,1043,8,398,417,109,39,31,43,6,0
G61022,Leibnitz,6044,3498,3452,46,1554,1068,386,214,98,90,42,0
G61023,Leutschach,458,268,266,2,57,170,26,4,3,5,1,0
G61024,Oberhaag,1904,1256,1240,16,429,585,135,22,14,49,6,0
G61025,Obervogau,696,461,453,8,188,191,31,10,9,19,5,0
G61026,Pistorf,1187,704,694,10,249,324,74,10,9,26,2,0
G61027,Ragnitz,1252,851,844,7,249,387,144,18,15,26,5,0
G61028,Ratsch an der Weinstraße,333,262,261,1,97,118,22,8,2,8,6,0
G61029,Retznei,343,229,226,3,159,44,17,2,0,2,2,0
G61030,Sankt Andrä-Höch,1474,869,856,13,286,382,120,24,10,31,3,0
G61031,Sankt Georgen an der Stiefing,917,600,592,8,153,320,50,33,12,21,3,0
G61032,Sankt Johann im Saggautal,1748,1093,1075,18,424,427,121,25,16,51,11,0
G61033,Sankt Nikolai im Sausal,1861,1151,1135,16,450,480,88,35,22,57,3,0
G61034,Sankt Nikolai ob Draßling,862,653,644,9,169,375,65,10,10,9,6,0
G61035,Sankt Ulrich am Waasen,605,406,403,3,153,127,54,28,19,17,5,0
G61036,Sankt Veit am Vogau,1514,1139,1127,12,290,611,126,30,21,27,22,0
G61037,Schloßberg,912,629,624,5,138,412,30,20,5,13,6,0
G61038,Seggauberg,820,564,560,4,140,316,58,18,12,11,5,0
G61039,Spielfeld,764,486,485,1,222,178,57,5,8,10,5,0
G61040,Stocking,1171,824,813,11,274,355,89,47,16,19,13,0
G61041,Straß in Steiermark,1377,824,813,11,249,368,127,27,16,19,7,0
G61042,Sulztal an der Weinstraße,124,76,76,0,32,33,1,6,2,1,1,0
G61043,Tillmitsch,2629,1609,1595,14,775,469,184,59,38,57,13,0
G61044,Vogau,867,599,592,7,224,245,70,9,11,18,15,0
G61045,Wagna,4163,2545,2499,46,1337,649,292,89,52,68,12,0
G61046,Weitendorf,1216,818,807,11,344,294,94,32,18,22,3,0
G61047,Wildon,1986,1062,1052,10,374,381,123,81,48,31,14,0
G61048,Wolfsberg im Schwarzautal,659,466,457,9,133,242,36,12,7,20,7,0
G61101,Eisenerz,4457,2770,2756,14,1862,476,164,34,160,38,6,16
G61102,Gai,1505,1045,1037,8,439,340,95,55,45,33,5,25
G61103,Hafning bei Trofaiach,1396,924,914,10,444,228,133,26,43,27,2,11
G61104,Hieflau,704,538,537,1,414,68,24,3,12,9,1,6
G61105,Kalwang,895,594,590,4,208,234,93,22,15,12,1,5
G61106,Kammern im Liesingtal,1385,972,961,11,435,377,69,14,27,20,5,14
G61107,Kraubath an der Mur,1113,807,798,9,286,370,71,16,25,20,4,6
G61108,Leoben,19501,10865,10765,100,5698,1995,1340,339,936,221,40,196
G61109,Mautern in Steiermark,1602,1111,1097,14,427,520,68,22,28,19,0,13
G61110,Niklasdorf,2107,1463,1452,11,903,243,120,36,56,39,3,52
G61111,Proleb,1416,1017,1008,9,543,250,114,31,30,15,3,22
G61112,Radmer,610,464,457,7,273,135,20,7,10,9,1,2
G61113,Sankt Michael in Obersteiermark,2564,1699,1690,9,940,359,226,43,65,31,5,21
G61114,Sankt Peter-Freienstein,2015,1290,1273,17,654,334,125,21,73,30,9,27
G61115,Sankt Stefan ob Leoben,1687,1162,1150,12,558,341,112,33,56,26,3,21
G61116,Traboch,1174,787,784,3,313,299,101,13,30,19,0,9
G61117,Trofaiach,6752,4298,4254,44,2291,628,501,134,477,100,18,105
G61118,Vordernberg,957,665,664,1,489,63,50,5,30,14,1,12
G61119,Wald am Schoberpaß,523,353,350,3,163,136,32,2,4,8,4,1
G61201,Admont,2096,1211,1190,21,541,368,113,76,41,37,4,10
G61202,Aich,704,505,498,7,113,279,53,13,3,32,4,1
G61203,Aigen im Ennstal,2108,1353,1333,20,444,528,195,71,42,39,8,6
G61204,Altaussee,1480,907,900,7,257,505,33,58,32,11,1,3
G61205,Altenmarkt bei Sankt Gallen,720,497,484,13,310,123,16,17,5,8,2,3
G61206,Ardning,1003,716,711,5,366,209,72,19,16,22,3,4
G61207,Bad Aussee,3842,2205,2167,38,693,935,162,225,119,22,2,9
G61208,Donnersbach,935,637,628,9,116,400,72,14,12,9,1,4
G61209,Donnersbachwald,282,184,179,5,111,53,13,0,1,1,0,0
G61210,Gaishorn am See,880,576,572,4,280,170,64,23,18,15,0,2
G61211,Gams bei Hieflau,491,358,357,1,151,145,35,5,1,18,1,1
G61212,Gössenberg,207,149,147,2,10,124,6,1,1,5,0,0
G61213,Gröbming,2155,1279,1262,17,466,520,153,48,24,28,15,8
G61214,Großsölk,403,288,282,6,107,141,20,2,3,7,1,1
G61215,Grundlsee,1061,653,638,15,216,314,33,43,22,6,1,3
G61216,Hall,1479,969,955,14,482,244,106,84,13,15,4,7
G61217,Haus,1921,1215,1196,19,365,634,98,33,15,38,12,1
G61218,Irdning,2188,1423,1398,25,374,660,170,101,35,33,6,19
G61219,Johnsbach,122,85,85,0,17,58,5,5,0,0,0,0
G61220,Kleinsölk,459,362,361,1,82,204,55,7,5,5,2,1
G61221,Landl,1088,799,794,5,426,251,71,6,21,11,4,4
G61222,Lassing,1424,947,932,15,272,443,144,26,15,11,14,7
G61223,Liezen,5287,3238,3197,41,1586,849,363,127,102,115,30,25
G61224,Michaelerberg,424,300,294,6,128,128,17,8,1,9,2,1
