GKZ,Name,Wahlberechtigte,abgegeben,gültig,ungültig,spoe,oevp,fpoe,gruene,kpoe,bzoe,cpoe,puma
G61505,Gosdorf,952,714,703,11,297,295,65,17,11,13,5,0
G61506,Halbenrain,1522,1057,1029,28,239,609,94,26,23,31,7,0
G61508,Hof bei Straden,738,486,478,8,133,257,42,17,13,15,1,0
G61509,Klöch,1028,769,751,18,149,497,65,13,5,21,1,0
G61510,Mettersdorf am Saßbach,1108,795,787,8,235,431,72,8,12,24,5,0
G61511,Mureck,1251,693,683,10,230,293,72,49,12,21,6,0
G61512,Murfeld,1391,979,962,17,339,477,80,19,15,23,9,0
G61513,Bad Radkersburg,1154,749,732,17,264,346,39,45,11,20,7,0
G61514,Radkersburg Umgebung,1482,1037,1020,17,293,558,68,39,26,29,7,0
G61515,Ratschendorf,527,399,396,3,160,177,24,8,10,10,7,0
G61516,Sankt Peter am Ottersbach,1896,1307,1290,17,469,644,98,23,14,32,10,0
G61517,Straden,1278,974,960,14,211,587,89,47,9,11,6,0
G61518,Tieschen,1165,893,877,16,419,365,45,16,12,17,3,0
G61519,Trössing,228,165,163,2,35,111,11,2,0,1,3,0
G61520,Weinburg am Saßbach,890,692,680,12,160,358,63,15,8,29,47,0
G61601,Bärnbach,4347,2588,2554,34,1457,484,258,110,93,137,15,0
G61602,Edelschrott,1362,875,862,13,279,418,76,16,17,52,4,0
G61603,Gallmannsegg,253,175,173,2,66,67,19,10,4,6,1,0
G61604,Geistthal,735,455,451,4,184,169,44,13,13,24,4,0
G61605,Gößnitz,411,291,291,0,70,166,22,6,6,21,0,0
G61606,Graden,434,313,311,2,135,114,37,3,9,13,0,0
G61607,Hirschegg,591,454,447,7,110,270,36,5,3,22,1,0
G61608,Kainach bei Voitsberg,598,425,419,6,231,130,34,10,1,10,3,0
G61609,Köflach,8415,5075,5040,35,2781,984,571,192,248,239,25,0
G61610,Kohlschwarz,604,453,447,6,221,144,33,11,13,24,1,0
G61611,Krottendorf-Gaisfeld,2003,1354,1337,17,496,544,135,44,37,68,13,0
G61612,Ligist,2695,1734,1702,32,615,681,170,110,44,67,15,0
G61613,Maria Lankowitz,1896,1388,1370,18,814,279,137,44,37,55,4,0
G61614,Modriach,189,157,156,1,11,126,6,6,7,0,0,0
G61615,Mooskirchen,1708,1075,1062,13,241,497,163,41,55,56,9,0
G61616,Pack,393,278,275,3,61,162,34,4,4,10,0,0
G61617,Piberegg,312,235,232,3,119,80,15,3,7,5,3,0
G61618,Rosental an der Kainach,1460,969,957,12,607,129,95,47,30,45,4,0
G61619,Salla,250,171,170,1,40,103,22,2,1,2,0,0
G61620,Sankt Johann-Köppling,1452,972,960,12,286,471,82,45,23,49,4,0
G61621,Sankt Martin am Wöllmißberg,713,518,509,9,182,222,59,12,11,19,4,0
G61622,Söding,1749,1137,1124,13,444,384,154,48,45,40,9,0
G61623,Södingberg,675,469,463,6,220,146,65,2,3,27,0,0
G61624,Stallhofen,2645,1727,1697,30,478,737,246,47,63,120,6,0
G61625,Voitsberg,8111,5021,4971,50,2646,1045,469,308,208,262,33,0
G61701,Albersdorf-Prebuch,1546,1031,1019,12,320,464,109,60,30,28,8,0
G61702,Anger,705,524,516,8,199,232,40,26,9,9,1,0
G61703,Arzberg,463,347,344,3,111,186,29,5,7,6,0,0
G61704,Baierdorf bei Anger,1388,1015,1004,11,310,539,65,24,31,27,8,0
G61705,Birkfeld,1371,908,892,16,324,388,68,58,22,21,11,0
G61706,Etzersdorf-Rollsdorf,946,675,669,6,232,302,67,20,27,12,9,0
G61707,Feistritz bei Anger,869,611,598,13,224,234,76,32,18,14,0,0
G61708,Fischbach,1330,905,892,13,289,422,142,13,13,9,4,0
G61709,Fladnitz an der Teichalm,942,727,717,10,153,390,127,14,13,17,3,0
G61710,Floing,1000,707,700,7,274,315,66,10,18,13,4,0
G61711,Gasen,753,630,622,8,174,393,30,7,3,10,5,0
G61712,Gersdorf an der Feistritz,991,766,759,7,105,451,156,19,8,11,9,0
G61713,Gleisdorf,4593,2578,2536,42,841,924,283,286,127,65,10,0
